user_id,customer_id,transaction_amount,transaction_type,transaction_date
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,0Ho1KALyH5kXuU65dORt,15440,debit,2020-09-08
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,0Ho1KALyH5kXuU65dORt,1560,debit,2021-05-05
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,65750,debit,2020-09-14
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,18000,debit,2020-09-15
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,16000,debit,2020-09-19
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,3000,debit,2020-09-08
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,40000,debit,2020-09-21
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,0JwwbTxOhvO3Az2HgPET,84700,debit,2020-09-08
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,44rc3PwQxvA2Aa46y9pd,394000,debit,2020-10-29
xEPNF2kCrSSe4uwhkbMxWg8b51B2,4BfYX07qhDI1d0p8HhgT,28000,debit,2020-07-02
xEPNF2kCrSSe4uwhkbMxWg8b51B2,4BfYX07qhDI1d0p8HhgT,15000,debit,2020-07-06
xEPNF2kCrSSe4uwhkbMxWg8b51B2,4vk8RMI9fMlkgYDRFfri,1000,debit,2020-07-02
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,5lb5biO7pI6GYT3NWFHo,13000,debit,2020-09-03
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,7u01NZQ2vj65dYKWtA2Q,1070000,debit,2020-09-03
xEPNF2kCrSSe4uwhkbMxWg8b51B2,8BlkMnfawOyMCFHin6Ib,11000,debit,2020-07-02
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,9LZiXe0NSwcqiabTEOho,35000,debit,2021-07-08
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,9XaEu0HpsKPpD3imMO0w,19000,debit,2020-08-07
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,9l6SxBM78Ky1UsgTpLVQ,100000,debit,2020-12-14
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,9l6SxBM78Ky1UsgTpLVQ,60000,debit,2021-05-12
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,9u22m62VGbQfuQ070lQu,7000,debit,2020-09-08
xEPNF2kCrSSe4uwhkbMxWg8b51B2,AfqOob5bn49kvUjIOkbO,1000,debit,2020-06-29
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,CHd8q4iWaLY7Pw2ZFJv4,150000,debit,2020-09-09
9cd3da80-2dce-4fdd-a2ef-fff3ec197ab8,E4qN6iaxeQG3QmUBvVh3,5350,debit,2020-09-22
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,57563,debit,2020-10-10
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,416317,debit,2020-10-20
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,36000,debit,2020-08-07
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,34500,debit,2020-09-22
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,1000,debit,2020-09-27
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,EDtmeLyoYeBoXXmYdSHO,21500,debit,2020-08-09
xEPNF2kCrSSe4uwhkbMxWg8b51B2,Ee722CRMsJai4QqtHUBx,1000,debit,2020-06-29
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,EnREJr2f83rQKMMFODSa,26320,debit,2020-09-08
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,F9afdewFpT0IG5FHIPYQ,35000,debit,2020-07-22
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,60000,debit,2020-08-27
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,150000,debit,2020-08-09
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,10000,debit,2020-09-28
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,53500,debit,2020-08-17
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,8500,debit,2020-08-13
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,20000,debit,2020-09-06
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,303000,debit,2020-08-07
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,20000,debit,2020-09-28
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,5000,debit,2020-10-04
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,13000,debit,2020-09-24
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,1000,debit,2020-09-21
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,45000,debit,2020-11-20
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,21000,debit,2020-09-13
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,205000,debit,2020-11-20
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,45000,debit,2020-09-25
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,20000,debit,2020-09-14
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,FaCUhKI7eT1wcyv01XNZ,260000,debit,2020-08-07
9cd3da80-2dce-4fdd-a2ef-fff3ec197ab8,H2WWXkU6l244K1EIecOu,5160,debit,2020-09-23
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,H79mbg1fuyKaGM7EuzaW,50000,debit,2020-09-09
xEPNF2kCrSSe4uwhkbMxWg8b51B2,I5wVyE2Lhw0A9n265nqf,22000,debit,2020-07-02
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,IqxcUfFSH68DFQoe76b0,120000,debit,2020-09-09
xEPNF2kCrSSe4uwhkbMxWg8b51B2,Jy739vMsA32TDY0l1O4k,2000,debit,2020-07-03
xEPNF2kCrSSe4uwhkbMxWg8b51B2,Jy739vMsA32TDY0l1O4k,3000,debit,2020-07-03
xEPNF2kCrSSe4uwhkbMxWg8b51B2,Jy739vMsA32TDY0l1O4k,3000,debit,2020-07-07
xEPNF2kCrSSe4uwhkbMxWg8b51B2,KRYo9Vg8glXG85kYAcon,2500,debit,2020-06-29
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,LX4V6QubyTXZA5SqgdRu,150000,debit,2020-07-22
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,Lk8TTOmFVfktOqQSg2jl,126000,debit,2020-08-07
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,Lk8TTOmFVfktOqQSg2jl,108000,debit,2020-08-07
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,Lk8TTOmFVfktOqQSg2jl,70,debit,2020-10-20
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,Lk8TTOmFVfktOqQSg2jl,730560,debit,2020-08-26
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,Lk8TTOmFVfktOqQSg2jl,197370,debit,2020-10-15
xEPNF2kCrSSe4uwhkbMxWg8b51B2,M41ORzzwvUX2dZ2e7zpl,500,debit,2020-06-29
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,MxqxPIZKdH72yLfOtvdn,220000,debit,2020-08-07
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,NzW93JiqyJ8xYL05qyRo,11050,debit,2020-09-08
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,OnRlAShaUlrM7cgu9Efk,814750,debit,2020-08-07
cd5af010-d5fa-4b0a-9fc7-43977e552ed4,OnRlAShaUlrM7cgu9Efk,75000,debit,2020-08-07
9cd3da80-2dce-4fdd-a2ef-fff3ec197ab8,RvVdvCCmpxmZhEMmL6Ox,840,debit,2020-09-28
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,TMGsxVD2Z39eSPH2dKeW,21383,debit,2020-09-08
ITntqIFk6zdrmI6Q4O0wEmqvnAP2,TjrZUb9aG4ik48VGjsNE,60000,debit,2020-07-22
378a4c00-20d5-4fa6-8d12-38b2ef646e5b,UGJYYkzQF4E9cW261QdQ,86,debit,2020-09-11
xEPNF2kCrSSe4uwhkbMxWg8b51B2,UjBK8yZtp7lghuRRAwfk,14500,debit,2020-06-29
